predictiondate;wind_speed;wind_gust;wind_direction;temp;precipitation;lightning_risk;measured_wind_speed;measured_wind_direction;availability;measured_wind_gust;Power
01/01/2015 09:00;4.2;NULL;103;0.47;0;NULL;7.0867;82.5333;1;NULL;8785
01/01/2015 10:00;3.5;NULL;98.4;3.73;0;NULL;6.92;83.4;1;NULL;8887
01/01/2015 11:00;2.7;NULL;95;5.13;0;NULL;6.2333;84.3333;1;NULL;6731
01/01/2015 12:00;2.2;NULL;90.7;6.61;0;NULL;6.1867;95.7333;1;NULL;6666
01/01/2015 13:00;1.9;NULL;86;7.75;0;NULL;5.66;95;1;NULL;4287
01/01/2015 14:00;1.6;NULL;76.1;8.39;0;NULL;4.9133;94.8667;1;NULL;2888
01/01/2015 15:00;1.5;NULL;69.6;8.55;0;NULL;4.2733;83.6;1;NULL;1556
01/01/2015 16:00;1.6;NULL;70.9;8.06;0;NULL;4.1;71.2667;1;NULL;1581
01/01/2015 17:00;1.9;NULL;77.7;4.74;0;NULL;5.02;75.3333;1;NULL;3065
01/01/2015 18:00;2.1;NULL;83.6;3.35;0;NULL;4.9867;74.3333;1;NULL;2898
01/01/2015 19:00;2.2;NULL;88.7;2.67;0;NULL;4.32;67.3333;1;NULL;1703
01/01/2015 20:00;2.3;NULL;94.3;2.12;0;NULL;5.1133;84.3333;1;NULL;3291
01/01/2015 21:00;2.8;NULL;103.7;1.68;0;NULL;4.66;81.6667;1;NULL;2646
01/01/2015 22:00;2.8;NULL;106.6;1.2;0;NULL;4.4;99.2667;1;NULL;1951
01/01/2015 23:00;2.6;NULL;106.4;0.74;0;NULL;4.0533;107.4;1;NULL;2098
02/01/2015 00:00;2.4;NULL;103;0.32;0;NULL;4.0667;74.0667;1;NULL;1556
02/01/2015 01:00;2.4;NULL;101.6;-0.03;0;NULL;3.6;62.8;1;NULL;887
02/01/2015 02:00;2.4;NULL;100.1;-0.32;0;NULL;3.86;71.8;1;NULL;1295
02/01/2015 03:00;2.2;NULL;98.9;-0.61;0;NULL;4.4867;65.2;1;NULL;2152
02/01/2015 04:00;2.2;NULL;98.4;-0.86;0;NULL;3.8867;59.8667;1;NULL;1211
02/01/2015 05:00;2.2;NULL;95.7;-1.11;0;NULL;3.6933;62.4667;1;NULL;1122
02/01/2015 06:00;2.3;NULL;95.3;-1.33;0;NULL;4.6067;72.7333;1;NULL;2146
02/01/2015 07:00;2.4;NULL;99;-1.53;0;NULL;4.9;74.1333;1;NULL;2937
02/01/2015 08:00;2.6;NULL;101;-1.66;0;NULL;5.34;83.6;1;NULL;3980
02/01/2015 09:00;2.8;NULL;102.8;1.22;0;NULL;5.7267;89.6667;1;NULL;4727
02/01/2015 13:00;1.4;NULL;82.3;8.51;0;NULL;2.98;105.533;1;NULL;601
02/01/2015 14:00;1.4;NULL;75.4;9.18;0;NULL;2.78;125.6;1;NULL;301
02/01/2015 15:00;1.5;NULL;74.8;9.26;0;NULL;3.6067;78.6;1;NULL;1014
02/01/2015 16:00;1.7;NULL;79.4;8.76;0;NULL;4.18;62.6667;1;NULL;1645
02/01/2015 17:00;2.1;NULL;85.5;5.61;0;NULL;4.2;78.9333;1;NULL;1439
02/01/2015 18:00;2.5;NULL;88.1;4.1;0;NULL;4.32;100.133;1;NULL;1906
02/01/2015 19:00;2.7;NULL;91.6;3.4;0;NULL;6.0733;79.1333;1;NULL;5248
02/01/2015 20:00;2.9;NULL;94.5;2.83;0;NULL;5.8267;76.1333;1;NULL;4787
02/01/2015 22:00;2.7;NULL;104.5;2.18;0;NULL;6.2;85;1;NULL;5691
02/01/2015 23:00;2.5;NULL;103.6;1.73;0;NULL;5.6867;92.1333;1;NULL;4519
03/01/2015 00:00;2.4;NULL;105.5;1.3;0;NULL;5.46;87.3333;1;NULL;3734
03/01/2015 01:00;2.4;NULL;110.7;0.91;0;NULL;5.54;97.5333;1;NULL;4436
03/01/2015 02:00;2.4;NULL;115;0.52;0;NULL;5.4267;95.6;1;NULL;4461
03/01/2015 03:00;2.2;NULL;117.5;0.16;0;NULL;4.8867;97.9333;1;NULL;2894
03/01/2015 04:00;2;NULL;119.2;-0.16;0;NULL;4.0133;101.133;1;NULL;1464
03/01/2015 05:00;1.7;NULL;119.2;-0.44;0;NULL;2.76;104.867;1;NULL;361
03/01/2015 06:00;1.5;NULL;118.3;-0.73;0;NULL;1.56;140.133;1;NULL;1
03/01/2015 07:00;1.3;NULL;118.4;-0.98;0;NULL;1.2333;160;1;NULL;0
03/01/2015 08:00;1.2;NULL;120.1;-1.18;0;NULL;0.7667;184.4;1;NULL;0
03/01/2015 10:00;1.4;NULL;132.7;4.18;0;NULL;1.8667;197.867;1;NULL;83
03/01/2015 11:00;0.9;NULL;124.7;5.77;0;NULL;1.58;255.867;1;NULL;41
03/01/2015 12:00;0.5;NULL;118.7;7.46;0;NULL;1.7267;250.133;1;NULL;50
03/01/2015 13:00;0.1;NULL;92.7;8.88;0;NULL;1.9333;270.933;1;NULL;43
03/01/2015 14:00;0.1;NULL;338.8;9.71;0;NULL;1.9267;260.2;1;NULL;29
03/01/2015 15:00;0.3;NULL;336.6;9.94;0;NULL;1.7733;249.267;1;NULL;11
03/01/2015 16:00;0.2;NULL;343.9;9.51;0;NULL;2.8133;260.8;1;NULL;351
03/01/2015 17:00;0.1;NULL;354.9;6.4;0;NULL;3.6533;255.867;1;NULL;1060
03/01/2015 18:00;0.1;NULL;93.7;4.88;0;NULL;3.6933;257.4;1;NULL;1110
03/01/2015 19:00;0.2;NULL;52.7;4.14;0;NULL;2.9267;261.933;1;NULL;486
03/01/2015 20:00;0.3;NULL;58.8;3.52;0;NULL;2.52;282.4;1;NULL;219
03/01/2015 21:00;0.2;NULL;22.8;2.99;0;NULL;3.1333;293.467;1;NULL;609
03/01/2015 22:00;0.3;NULL;8.3;2.43;0;NULL;2.6;297.6;1;NULL;294
03/01/2015 23:00;0.4;NULL;1.9;1.93;0;NULL;1.9533;266.667;1;NULL;32
04/01/2015 00:00;0.5;NULL;1.5;1.47;0;NULL;1.8533;250.467;1;NULL;41
04/01/2015 01:00;0.7;NULL;17.2;1.05;0;NULL;1.8733;191.467;1;NULL;19
04/01/2015 02:00;0.9;NULL;37.4;0.64;0;NULL;2.1667;86.4;1;NULL;40
04/01/2015 03:00;1.2;NULL;60.1;0.28;0;NULL;1.5133;156.467;1;NULL;2
04/01/2015 04:00;1.6;NULL;73.1;0.17;0;NULL;1.22;163.2;1;NULL;5
04/01/2015 05:00;2;NULL;83.6;0.15;0;NULL;1.68;127.667;1;NULL;1
04/01/2015 06:00;2.5;NULL;88.1;0.26;0;NULL;3.0067;48.3333;1;NULL;484
04/01/2015 07:00;2.8;NULL;87.8;0.41;0;NULL;3.6867;39.4667;1;NULL;965
04/01/2015 08:00;3;NULL;88.1;0.51;0;NULL;3.0067;62.0667;1;NULL;537
04/01/2015 09:00;3;NULL;85.6;2.34;0;NULL;3.96;58.3333;1;NULL;1273
04/01/2015 10:00;3.1;NULL;85.9;5.43;0;NULL;3.9867;49.1333;1;NULL;1404
04/01/2015 11:00;2.5;NULL;85.2;6.67;0;NULL;3.94;71.4667;1;NULL;1474
04/01/2015 12:00;2.2;NULL;83.1;8.03;0;NULL;3.7533;57.5333;1;NULL;1258
04/01/2015 13:00;2.1;NULL;80.1;9.08;0;NULL;3.44;74.6667;1;NULL;925
04/01/2015 14:00;2.2;NULL;77.2;9.61;0;NULL;3.5133;92.4;1;NULL;1081
04/01/2015 15:00;2.2;NULL;74.4;9.71;0;NULL;4.28;85.4;1;NULL;1925
04/01/2015 16:00;2.3;NULL;76.1;9.33;0;NULL;5.2133;77.1333;1;NULL;3519
04/01/2015 17:00;2.9;NULL;80.2;6.79;0;NULL;6.1267;76.3333;1;NULL;6262
04/01/2015 18:00;3.3;NULL;87.3;5.36;0;NULL;5.44;77.4667;1;NULL;4003
04/01/2015 19:00;3.7;NULL;90.6;4.88;0;NULL;5.8933;69.0667;1;NULL;5012
04/01/2015 20:00;3.9;NULL;93.4;4.49;0;NULL;5.7667;70;1;NULL;4783
04/01/2015 21:00;3.6;NULL;92.7;4.28;0;NULL;5.3067;75.5333;1;NULL;3677
04/01/2015 22:00;3.7;NULL;93.5;4.14;0;NULL;6.32;77.2;1;NULL;6376
04/01/2015 23:00;3.6;NULL;95.5;4.05;0;NULL;6.3267;76.6667;1;NULL;6584
05/01/2015 00:00;3.4;NULL;100;3.61;0;NULL;7.8867;85.5333;1;NULL;13475
05/01/2015 01:00;3.2;NULL;104.5;3.1;0;NULL;7.8933;83.2;1;NULL;12415
05/01/2015 02:00;2.9;NULL;109.8;2.47;0;NULL;6.9467;83.6667;1;NULL;9151
05/01/2015 03:00;2.5;NULL;115.9;1.78;0;NULL;7.6867;83.4667;1;NULL;11023
05/01/2015 04:00;2.1;NULL;122.9;1.28;0;NULL;6.6067;82.8667;1;NULL;7488
05/01/2015 05:00;1.7;NULL;128.6;0.78;0;NULL;5.48;89.2667;1;NULL;4123
05/01/2015 06:00;1.2;NULL;138.4;0.29;0;NULL;2.24;142.6;1;NULL;155
05/01/2015 07:00;1;NULL;153;-0.11;0;NULL;2.1867;201.467;1;NULL;173
05/01/2015 08:00;0.8;NULL;167.9;-0.43;0;NULL;2.2667;228.667;1;NULL;251
05/01/2015 09:00;1.1;NULL;153.2;2.04;0;NULL;2.2667;221.467;1;NULL;166
05/01/2015 10:00;1;NULL;178.8;5.39;0;NULL;2.9133;221.067;1;NULL;611
05/01/2015 12:00;0.6;NULL;186.4;8.57;0;NULL;4.2333;215.067;1;NULL;1536
05/01/2015 13:00;0.7;NULL;209.8;9.87;0;NULL;5.24;217.067;1;NULL;3160
05/01/2015 14:00;0.8;NULL;224.5;10.78;0;NULL;4.0333;221.533;1;NULL;1188
05/01/2015 16:00;1.4;NULL;251.7;10.73;0;NULL;4.3867;219.4;1;NULL;1724
05/01/2015 19:00;2.3;NULL;265.2;4.98;0;NULL;7.8133;222.533;1;NULL;12259
05/01/2015 20:00;2.5;NULL;265.1;4.19;0;NULL;6.0933;226.333;1;NULL;6037
05/01/2015 21:00;1.7;NULL;266.1;2.36;0;NULL;5.3533;218.867;1;NULL;4136
05/01/2015 22:00;1.6;NULL;261.4;1.69;0;NULL;4.88;215.467;1;NULL;2983
05/01/2015 23:00;2;NULL;260.7;1.13;0;NULL;2.5933;256.533;1;NULL;320
06/01/2015 00:00;2.2;NULL;264.7;0.64;0;NULL;4.5133;228.4;1;NULL;1903
06/01/2015 01:00;2.4;NULL;270.1;0.2;0;NULL;3.8933;236.467;1;NULL;1314
06/01/2015 02:00;2.4;NULL;277;-0.19;0;NULL;4.4667;241.867;1;NULL;1921
06/01/2015 03:00;2.3;NULL;280.4;-0.56;0;NULL;4.8667;266.2;1;NULL;2714
06/01/2015 04:00;1.9;NULL;282.3;-0.79;0;NULL;4.1933;265.933;1;NULL;1579
06/01/2015 05:00;1.7;NULL;284.3;-0.67;0;NULL;3.98;265.8;1;NULL;1184
06/01/2015 06:00;1.5;NULL;291.5;-0.48;0;NULL;2.9267;259.067;1;NULL;430
06/01/2015 07:00;1.5;NULL;294.9;-0.4;0;NULL;4.24;269.867;1;NULL;1772
06/01/2015 08:00;1.4;NULL;293.4;-0.43;0;NULL;3.6867;291.333;1;NULL;977
06/01/2015 09:00;1.7;NULL;313.5;0.6;0;NULL;3;314.467;1;NULL;467
06/01/2015 10:00;1.1;NULL;320.5;3.13;0;NULL;2.1867;283.8;1;NULL;54
06/01/2015 11:00;0.5;NULL;337.2;3.9;0;NULL;1.6467;89.3333;1;NULL;10
06/01/2015 12:00;0.4;NULL;53.2;4.47;0;NULL;2.0667;105.933;1;NULL;23
06/01/2015 13:00;0.5;NULL;71.7;5.01;0;NULL;3.1867;108.867;1;NULL;531
06/01/2015 14:00;0.5;NULL;56.4;5.38;0;NULL;3.5933;79.5333;1;NULL;986
06/01/2015 15:00;0.5;NULL;20.4;5.4;0;NULL;3.3667;67;1;NULL;831
